loc,long,lat,region,date,type,descr,deaths,death_stat,source
Besna Kobila,22.23043548,42.52921528,Serbia,6/2/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Besnik,20.25526947,42.87675611,Montenegro,3/26/1999,military units,civilian,1,civilian,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Biljanovac,20.6573,43.4099,Serbia,4/29/1999,infrastructure,bridge,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
Biljanovac,20.6573,43.4099,Serbia,5/17/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Biljanovac, most",20.6538,43.4105,Serbia,4/4/1999,infrastructure,bridge,0,,Bela Knjiga
"Biljanovac, most",20.6538,43.4105,Serbia,4/11/1999,infrastructure,bridge,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
"Biljanovac, most",20.6538,43.4105,Serbia,4/12/1999,infrastructure,bridge,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
"Biljanovac, most",20.6538,43.4105,Serbia,4/13/1999,infrastructure,bridge,0,,Bela Knjiga
"Biljanovac, most",20.6538,43.4105,Serbia,4/15/1999,infrastructure,bridge,0,,Bela Knjiga
"Biljanovac, most",20.6538,43.4105,Serbia,5/29/1999,infrastructure,bridge,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
Bistrasin,20.5102,42.3544,Kosovo,4/14/1999,military units,,44,civilian,Bela Knjiga
"Bistrica, most preko Lima",19.6501,43.4669,Serbia,4/14/1999,infrastructure,bridge,0,,Bela Knjiga
Bitinje,21.03298814,42.26247484,Kosovo,5/27/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bivolje,21.34632241,43.58786433,Serbia,5/2/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bogatic,19.47919977,44.83471235,Serbia,4/30/1999,military units,,2,military,FHP
Bogutovac,20.55453877,43.65049372,Serbia,4/3/1999,industry,refinery,0,,Bela Knjiga
