county,id,okrug,okrug_id,year,vote_milosevic,vote_opposition,vote_srs,turnout,bombed,year00,employed_per_1000inh,pop_per_doctor,refugees_perc_pop,minorpc91,femalepc91,pop_chng_98_02,irp,urbanpc91,age20_34pc,illiterate_pc,allen_vincent_2011
GORNJI MILANOVAC,40,MORAVICKI,17,1992,28.84205244,20.68121942,21.05444737,81.75,1,0,324,390,0.046439196,0.030566814,0.506866267,-0.025746421,0.024621677,0.447744511,0.191998489,0.024873533,1
GROCKA,41,BEOGRAD,0,1992,25.80265643,20.50837487,26.80268739,67.84,1,0,94,852,0.12988135,0.06914526,0.496710526,0.051058496,0.061016713,0.109773615,0.219913603,0.025892455,1
INDJIJA,42,SREMSKI,7,1992,25.74300016,14.17957141,33.93164399,79.99,1,0,218,754,0.329863076,0.281204029,0.511348192,0.087916667,0.004342105,0.522356619,0.199157411,0.024975307,0
IRIG,43,SREMSKI,7,1992,17.09424791,12.58439103,14.4747502,84.18,1,0,231,719,0.258464432,0.264705882,0.519151847,0.100803571,0.005982143,0.377393981,0.173980047,0.022386244,1
IVANJICA,44,MORAVICKI,17,1992,32.99058285,8.892848053,30.07381013,68.91,1,0,323,691,0.018944557,0.015673554,0.5042136,-0.031557377,0.000846995,0.308524545,0.199605022,0.047002398,1
JAGODINA,45,POMORAVSKI,13,1992,30.7469713,16.83546764,24.35053016,78.58,1,0,280,390,0.198694962,0.062631787,0.508710306,-0.074490862,0.067780679,0.485039451,0.194064378,0.032090163,1
KANJIZA,46,SEVERNOBANATSKI,3,1992,3.054414784,5.102669405,2.412731006,79.58,1,0,211,564,0.016042781,0.937817921,0.504137886,-0.064285714,0.001394558,0.376026326,0.187168302,0.010577972,0
KIKINDA,47,SEVERNOBANATSKI,3,1992,27.74713523,13.45145096,26.77908102,83.77,1,0,313,380,0.103967423,0.273547166,0.510464933,-0.045555556,0.001467236,0.617581661,0.196337423,0.023073938,0
KLADOVO ,48,BORSKI,14,1992,38.86837403,9.374627755,21.11971412,68.32,0,0,138,503,0.016530222,0.117562184,0.504563847,-0.252753165,0.002943038,0.350773188,0.182272477,0.081057045,0
KNIC,49,SUMADIJSKI,12,1992,27.8726025,17.84268872,19.76068978,75.76,1,0,100,937,0.027718436,0.028305918,0.505132043,-0.066589595,0.022485549,0,0.154756007,0.044587565,0
KNJAZEVAC,50,ZAJECARSKI,15,1992,39.01511426,10.74718862,22.39270844,83.62,1,0,291,368,0.017008811,0.04621219,0.51143026,-0.07990099,0.007054455,0.447779848,0.156569461,0.042801033,1
KOCELJEVA,51,MACVANSKI,8,1992,36.92203521,13.25207971,21.22267363,76.53,0,0,130,884,0.040904829,0.035982185,0.49718706,-0.058072289,0.000240964,0,0.187132259,0.06593758,0
KOSJERIC,52,ZLATIBORSKI,16,1992,25.29456275,11.03664469,20.55993947,77.64,0,0,184,1007,0.02648921,0.017444114,0.50536245,-0.053986486,0.002837838,0.245122109,0.176630241,0.058924363,0
KOVACICA,53,JUZNOBANATSKI,4,1992,12.86630279,16.41672407,8.929044566,78.31,1,0,166,800,0.022711609,0.694706095,0.505543892,-0.044863014,0.003527397,0.243603202,0.19261384,0.017533166,0
KOVIN,54,JUZNOBANATSKI,4,1992,29.21823664,22.92632432,18.16013322,76.54,1,0,207,453,0.065154327,0.264668217,0.50093985,-0.008032345,0.008787062,0.356855681,0.193386229,0.038747894,0
KRAGUJEVAC,55,SUMADIJSKI,12,1992,24.05790507,20.35873079,23.08239242,81.82,1,0,348,295,0.030952222,0.058894738,0.508887473,-0.034054945,0.060697802,0.815935968,0.205879342,0.01924324,1
KRALJEVO,56,RASKI,18,1992,29.00392033,16.98068678,26.19937327,75.36,1,0,248,354,0.056848901,0.051370734,0.505732231,-0.032535771,0.145461049,0.500079504,0.200095311,0.027796265,0
KRUPANJ,57,MACVANSKI,8,1992,36.40947288,11.17647059,24.30863254,76.82,0,0,147,1158,0.015128662,0.031628502,0.491064491,-0.082181818,0.000863636,0.219159925,0.198791601,0.070176307,0
KRUSEVAC,58,RASINSKI,19,1992,31.75601684,18.55668849,22.52816781,77.18,1,0,284,368,0.036528589,0.050459413,0.51078132,-0.036891496,0.054765396,0.425522062,0.201647281,0.03920285,1
KUCEVO,59,BRANICEVSKI,11,1992,37.09330465,9.135520301,11.93197096,71.62,0,0,111,1109,0.030176615,0.06218566,0.508830754,-0.259527559,0.002007874,0.188935241,0.167535091,0.077201191,0
